Demo,,,目標設定,目標設定,目標設定,實際作為,實際作為,供應鏈管理,,2030年溫室氣體絕對減量目標,,,,2030年再生能源使用率目標,,,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略
統一編號,公司,產業類別,2030年溫室氣體絕對減量目標,2030年再生能源使用率目標,2030年能源效率進步目標,2024年再生能源使用率,2022-2024年能源效率進步率,範疇三及減量策略,>> Data,是否設定中期溫室氣體絕對減量目標,中期減量目標年設定,中期溫室氣體絕對減量目標值（百分比）,中期減量基準年設定,再生能源目標年設定,再生能源目標值（百分比）,是否取得RE100認證？,年節電率目標,再生能源使用佔總發電量（百分比）,22-24 能效進步率,範疇三（值）,是否設定範疇三減量目標,範疇三減量目標實際作為
22099218,華邦電子股份有限公司,半導體業,,,,,,,,TRUE,203000%,42.0%,"2,023",2030,50.0%,FALSE,15.0%,6%,9.0%,"405,474",TRUE,低碳運輸、推動供應鏈減碳、產品碳足跡盤查
70584724,艾杰旭顯示玻璃股份有限公司,非金屬製品加工業
22522453,亞東工業氣體股份有限公司,石化業
22099548,旺宏電子股份有限公司,半導體業,,,,,,,,TRUE,203000%,,"2,023",2025,NA,FALSE,NA,2%,26.1%,"204,910",TRUE,盤查範疇三排放量、評估價值鏈排放量貢獻、客戶要求旺宏積極減碳
80354671,慶欣欣鋼鐵股份有限公司,鋼鐵業
14057995,東聯化學股份有限公司,石化業,,,,,,,,TRUE,203000%,35.0%,"2,021",2032,10.0%,FALSE,1.5%,2%,1.3%,"530,692",TRUE,汰換老舊運輸車輛、推動交通車共乘與提早發車、推動綠色採購
22318678,亞東石化股份有限公司,石化業
16082267,力成科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,15.0%,"2,020",2030,15.0%,FALSE,1.0%,3%,3.4%,"263,504",FALSE,攜手供應商減碳行動、製造業以大帶小低碳轉型計畫、進行組織型溫室氣體盤查
35412204,華新麗華股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,,"2,014",NA,NA,FALSE,1.5%,23%,9.2%,"2,423,215",TRUE,成立華新麗華低碳聯盟、要求供應商簽署經營管理承諾書、輔導高風險供應商改善
07435515,新光合成纖維股份有限公司,紡織業,,,,,,,,FALSE,NA,NA,"2,021",NA,NA,FALSE,2.0%,2%,,NA,FALSE,推動衣to衣循環回收、使用環保聚酯(r-PET)、推動低碳物流合作機制
22507241,京元電子股份有限公司,半導體業,,,,,,,,TRUE,203000%,15.0%,"2,022",2030,20.0%,FALSE,1.5%,2%,20.2%,"503,695",TRUE,輔導供應商進行碳足跡盤查、評估低碳包材使用
79254702,協勝發鋼鐵廠股份有限公司,鋼鐵業
16450500,瀚宇彩晶股份有限公司,光電業,,,,,,,,TRUE,203000%,30.0%,"2,020",2030(特定產線),100.0%,FALSE,1.0%,2%,15.2%,"114,187",TRUE,推動供應商碳盤查與目標管理、強化減碳能力建構與資源共享、促進再生能源使用
07838854,中鴻鋼鐵股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,25.0%,"2,018",NA,NA,FALSE,1.5%,1%,,"3,437,850",FALSE,綠色產品開發降低下游加工耗能、要求供應商提供碳足跡、使用再生材原料
69771636,威致鋼鐵工業股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,8.4%,NA,2025,NA,FALSE,1.0%,0%,9.3%,NA,FALSE,NA
70785139,景碩科技股份有限公司,電子業,,,,,,,,TRUE,203000%,NA,"2,022",2025,10.0%,FALSE,1.5%,1%,15.1%,"134,382",TRUE,綠色供應鏈管理、提高在地採購比例、推動產品廢棄物轉製輔助燃料棒
42818882,林園先進材料科技股份有限公司,石化業
89406518,台塑勝高科技股份有限公司,半導體業,,,,,,,,TRUE,202500%,12.5%,"2,020",2030,25.0%,FALSE,5.0%,0%,11.2%,NA,TRUE,低碳供應鏈合作、原物料供應商優先請購、訂定長期供貨合約
16130042,南茂科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,20.0%,"2,021",2030,20.0%,FALSE,2.0%,1%,3.7%,"105,287",TRUE,員工交通車行駛路線整併、推動製程氮氣減排計畫、包材循環使用
16432742,凌巨科技股份有限公司,光電業,,,,,,,,TRUE,203000%,38.0%,"2,022",2025,NA,FALSE,1.5%,0%,,89,FALSE,NA
39054405,李長榮化學工業股份有限公司,石化業,,,,,,,,TRUE,203000%,42.0%,"2,021",2030,15.0%,FALSE,8.0%,1%,,NA,FALSE,推動低碳原料、生質材料認證(ISCC PLUS)、供應商節能轉型
33955322,力鵬企業股份有限公司,石化業,,,,,,,,FALSE,,,,NA,NA,FALSE,NA,NA,-9.1%,NA,FALSE,NA
20844865,台灣苯乙烯工業股份有限公司,石化業,,,,,,,,TRUE,203000%,30.0%,"2,018",NA,NA,FALSE,1.0%,2%,4.2%,"473,565",FALSE,優先向當地供應商進行採購、推動廢棄物回收再利用
84252697,榮剛材料科技股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,NA,NA,NA,NA,FALSE,1.5%,1%,-4.3%,"138,551",TRUE,供應商碳排調查、廢棄物資源化、使用低碳燃料
14040691,中美和石油化學股份有限公司,石化業
75470524,海光企業股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,6.0%,,NA,NA,FALSE,NA,4%,5.1%,NA,FALSE,NA
28098406,易昇鋼鐵股份有限公司,鋼鐵業
19084015,台灣氯乙烯工業股份有限公司,石化業
27208480,尚承鋼鐵股份有限公司,鋼鐵業
22480876,大立光電股份有限公司,光電業,,,,,,,,TRUE,NA,NA,NA,2028,10.0%,FALSE,NA,0%,,NA,FALSE,NA
14001199,福懋興業股份有限公司,紡織業,,,,,,,,TRUE,203000%,33.8%,"2,019",NA,NA,FALSE,NA,5%,,NA,TRUE,與供應商合作開發低碳產品、使用回收材料、推動循環經濟
07663290,力麗企業股份有限公司,石化業,,,,,,,,FALSE,,,,NA,NA,FALSE,NA,NA,-5.8%,NA,FALSE,NA
22662355,台灣必成股份有限公司,非金屬製品加工業
16834268,富喬工業股份有限公司,非金屬製品加工業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,NA,0%,-0.6%,NA,FALSE,NA
96971313,中鋼鋁業股份有限公司,鋁製造業,,,,,,,,TRUE,203000%,25.0%,"2,018",NA,NA,FALSE,1.0%,2%,,"1,646,299",TRUE,提高回收鋁料使用、開發低碳循環鋁材、推動鋁廢料閉環回收
04401392,華通電腦股份有限公司,電子業,,,,,,,,TRUE,203000%,30.0%,"2,024",2030,30.0%,FALSE,1.5%,33%,,"107,540",FALSE,針對關鍵供應商進行溫室氣體盤查、鼓勵取得ISO 14064-1、持續強化供應鏈管理
75947936,燁輝企業股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,22.0%,,NA,NA,FALSE,1.5%,1%,7.8%,NA,FALSE,推動產品碳足跡盤查活動、擴大再生回收原料使用
28113286,環球晶圓股份有限公司,半導體業,,,,,,,,FALSE,,NA,"2,019",2040,100.0%,TRUE,1.0%,7%,5.4%,"245,061",FALSE,落實供應商產品碳足跡盤查、邀請供應商響應SBTi、持續追蹤供應商減碳路徑
70752257,穩懋半導體股份有限公司,半導體業,,,,,,,,TRUE,203000%,42.0%,"2,021",2030,30.0%,FALSE,1.0%,0%,0.5%,"40,635",TRUE,聚焦原物料減量、聚焦電力減量、使用低碳原物料及低碳運輸
03553737,台橡股份有限公司,石化業,,,,,,,,TRUE,203000%,22.5%,"2,021",2030,30.0%,FALSE,NA,8%,-31.3%,"1,331,675",TRUE,推動供應商溫室氣體減量、優化原料供應商採購組合、開發產品碳足跡較低之產品
42010509,羅東鋼鐵廠股份有限公司,鋼鐵業
11917107,台灣聚合化學品股份有限公司,石化業,,,,,,,,TRUE,203000%,27.0%,"2,017",2027,NA,FALSE,1.5%,0%,9.2%,"470,390",TRUE,供應鏈低碳化轉型輔導計畫、推動塑膠原粒回收計畫、持續進行範疇三盤查與確信
86120031,信昌化學工業股份有限公司,石化業,,,,,,,,TRUE,203000%,13.0%,"2,021",NA,NA,FALSE,NA,0%,,"308,998",FALSE,推動產品碳足跡盤查、購買生命週期評估軟體、供應鏈永續管理
22318516,台灣志氯化學股份有限公司,石化業
80087041,台灣醋酸化學股份有限公司,石化業
16130009,頎邦科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,23.0%,"2,021",2030,NA,FALSE,1.0%,0%,8.2%,"42,579",FALSE,NA
55695790,建順煉鋼股份有限公司,鋼鐵業
86119908,中聯資源股份有限公司,非金屬製品加工業,,,,,,,,TRUE,203000%,25.0%,"2,018",2050,100.0%,FALSE,1.0%,2%,-13.2%,"311,000",FALSE,NA
22099110,台灣茂矽電子股份有限公司,半導體業,,,,,,,,TRUE,203000%,42.0%,"2,021",NA,NA,FALSE,1.0%,1%,,"11,002",FALSE,原物料在地化採購、廢棄物回收再利用、推動綠色辦公
68919301,台南紡織股份有限公司,石化業,,,,,,,,TRUE,203000%,11.1%,"2,024",NA,NA,FALSE,1.5%,1%,-2.2%,"393,327",FALSE,NA
22100242,台灣福雷電子股份有限公司,半導體業
16741846,精材科技股份有限公司,電子業,,,,,,,,TRUE,203000%,15.0%,"2,020",2030,15.0%,FALSE,1.0%,0%,7.2%,"29,574",FALSE,NA
23826736,福懋科技股份有限公司,半導體業,,,,,,,,TRUE,203000%,25.0%,"2,020",2030,10.0%,FALSE,1.0%,3%,2.9%,"74,942",TRUE,與供應商合作設置再生能源設備、使用再生材料
43295237,集盛實業股份有限公司,紡織業,,,,,,,,FALSE,無,NA,NA,NA,NA,FALSE,NA,0%,0.8%,"22,203",FALSE,NA
22327037,永豐餘消費品實業股份有限公司,造紙業,,,,,,,,FALSE,NA,,"2,018",NA,NA,FALSE,1.0%,1%,,"62,323",FALSE,增加綠色採購、開發低碳綠色產品
20747385,亞洲聚合股份有限公司,石化業,,,,,,,,TRUE,203000%,27.0%,"2,017",NA,NA,FALSE,NA,0%,20.0%,"307,945",TRUE,貨運上游運輸盤查、國內產品運輸盤查、採購貨物盤查
11686106,華夏海灣塑膠股份有限公司,石化業,,,,,,,,TRUE,203000%,27.0%,"2,017",NA,NA,FALSE,1.0%,0%,15.7%,"1,210,077",FALSE,蒐集各項廠內循環再生回收料、投入再生製成新品銷售、採購綠色產品
16447610,金居開發股份有限公司,銅製造業,,,,,,,,FALSE,NA,NA,NA,NA,NA,FALSE,1.0%,NA,-2.7%,NA,FALSE,NA
50301500,廣源造紙股份有限公司,造紙業
47109348,華夏玻璃股份有限公司,非金屬製品加工業
05126366,超豐電子股份有限公司,半導體業,,,,,,,,TRUE,203000%,10.0%,"2,022",NA,NA,FALSE,1.0%,1%,,"27,297",TRUE,持續推行減廢和回收計劃、綠色產品採購、產品開發導入綠色設計思維
20927014,大統益股份有限公司,食品業,,,,,,,,TRUE,203000%,3.3%,"2,022",NA,NA,FALSE,NA,0%,3.5%,NA,FALSE,NA
85978401,裕鐵企業股份有限公司,鋼鐵業
22822748,聯成鋼鐵股份有限公司,鋼鐵業
22817999,宏遠興業股份有限公司,紡織業,,,,,,,,TRUE,203000%,50.0%,"2,020",2030,20.0%,FALSE,NA,14%,-16.2%,NA,FALSE,積極與供應商合作開發創新綠色產品、持續通過GRS全球回收標準認證、落實豐田式精實研發降低產品碳足跡
61932639,台灣銅箔股份有限公司,銅製造業
49701774,冠軍建材股份有限公司,非金屬製品加工業,,,,,,,,FALSE,NA,NA,NA,2050,100.0%,FALSE,1.0%,NA,-23.6%,282,FALSE,推動廢棄物源頭減量、供應鏈碳足跡盤查
85803825,高雄塑酯化學工業股份有限公司,石化業
05637971,燿華電子股份有限公司,電子業,,,,,,,,TRUE,203000%,30.0%,"2,020",2030,NA,FALSE,1.0%,0%,-4.0%,"36,406",TRUE,持續提升廢棄物轉化率、減少運輸排碳、不使用衝突礦產
75460005,唐榮鐵工廠股份有限公司,鋼鐵業,,,,,,,,TRUE,203000%,47.0%,"2,005",2030,8.0%,FALSE,1.0%,3%,4.3%,NA,FALSE,NA
30974253,台灣石化合成股份有限公司,石化業
23221384,中鋼碳素化學股份有限公司,石化業,,,,,,,,TRUE,203000%,5.0%,"2,018",NA,NA,FALSE,1.1%,1%,14.0%,"10,557",FALSE,原料採用管線輸送、包裝材料回收、廢棄物減量
30955404,金像電子股份有限公司,電子業,,,,,,,,TRUE,203000%,46.7%,"2,019",2030,46.7%,FALSE,1.5%,30%,-14.4%,"108,730",FALSE,異地材料採購、採購數位流程減少紙張
89528054,台灣鋼聯股份有限公司,石化業,,,,,,,,TRUE,203000%,34.0%,"2,012",NA,NA,FALSE,1.0%,9%,4.4%,"55,993",FALSE,NA
23827741,三義化學工業股份有限公司,石化業
59504506,正新橡膠工業股份有限公司,石化業,,,,,,,,TRUE,203000%,22.0%,"2,019",2030,12.0%,FALSE,1.0%,0%,-16.6%,"294,141",FALSE,NA
