年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類
112,S1900729,聯華氣體工業股份有限公司林園工廠,聯華氣體工業股份有限公司,	05258865,"2,301.56","53,654.33","55,955.89",100.00%,"55,955.89","55,955.89",100.00%,高雄市,"55,955.89",100.00%,化學原材料製造業,石化業
112,S1900612,聯成化學科技股份有限公司林園廠,聯成化學科技股份有限公司,	04748660,"37,101.17","14,442.36","51,543.54",100.00%,"51,543.54","51,543.54",100.00%,高雄市,"51,543.54",100.00%,化學原材料製造業,石化業
112,S3200955,遠東氣體工業股份有限公司永安工廠,遠東氣體工業股份有限公司,22956507,18.14,"33,395.98","33,414.13",100.00%,"33,414.13","33,414.13",100.00%,高雄市,"33,414.13",100.00%,化學原材料製造業,石化業
112,S2201154,三芳化學工業股份有限公司,三芳化學工業股份有限公司,83387850,"6,968.13","15,892.28","22,860.41",100.00%,"22,860.41","22,860.41",100.00%,高雄市,"22,860.41",100.00%,化學原材料製造業,石化業
112,E4906835,日月光半導體製造股份有限公司十一廠,日月光半導體製造股份有限公司,76027628,"6,547.81","57,248.82","63,796.62",11.74%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E49A6630,日月光半導體製造股份有限公司二十二廠,日月光半導體製造股份有限公司,76027628,"6,246.21","43,817.25","50,063.46",9.21%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E49A9852,日月光半導體製造股份有限公司二十四廠,日月光半導體製造股份有限公司,76027628,744.81,"45,794.75","46,539.56",8.56%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E49A5078,日月光半導體製造股份有限公司十二廠,日月光半導體製造股份有限公司,76027628,275.87,"36,898.69","37,174.56",6.84%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E49A5692,日月光半導體製造股份有限公司二十一廠,日月光半導體製造股份有限公司,76027628,"1,610.16","32,676.64","34,286.80",6.31%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E4905365,日月光半導體製造股份有限公司九廠,日月光半導體製造股份有限公司,76027628,"1,429.45","29,661.19","31,090.64",5.72%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E49A7579,日月光半導體製造股份有限公司五廠,日月光半導體製造股份有限公司,76027628,442.64,"22,619.71","23,062.35",4.24%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E4906246,日月光半導體製造股份有限公司凸晶二廠,日月光半導體製造股份有限公司,76027628,"3,364.38","13,388.98","16,753.36",3.08%,"543,558.41","543,558.41",100.00%,高雄市,"302,767.35",55.70%,半導體製造業,半導體業
112,E2903416,華邦電子股份有限公司高雄廠,華邦電子股份有限公司,22099218,"11,900.31","101,718.94","113,619.25",28.62%,"397,006.76","397,006.76",100.00%,高雄市,"113,619.25",28.62%,半導體製造業,半導體業
112,E54A1352,頎邦科技股份有限公司南六廠,頎邦科技股份有限公司,16130009,495.30,"23,937.46","24,432.76",18.03%,"135,476.18","113,014.52",83.42%,高雄市,"46,894.42",34.61%,半導體製造業,半導體業
112,E49A6412,台灣福雷電子股份有限公司三廠,台灣福雷電子股份有限公司,22100242,375.60,"61,551.61","61,927.21",52.09%,"118,894.17","61,927.21",52.09%,高雄市,"118,894.17",100.00%,半導體製造業,半導體業
112,E49A1492,華泰電子股份有限公司封裝測試大樓工廠,華泰電子股份有限公司,89004161,136.40,"32,364.22","32,500.62",45.75%,"71,037.46","32,500.62",45.75%,高雄市,"71,037.46",100.00%,半導體製造業,半導體業
112,E4900397,台灣恩智浦半導體股份有限公司,台灣恩智浦半導體股份有限公司,89002500,"1,210.77","61,873.14","63,083.91",100.00%,"63,083.91","63,083.91",100.00%,高雄市,"63,083.91",100.00%,半導體製造業,半導體業
112,E5402523,華東科技股份有限公司B10廠,華東科技股份有限公司,22101116,462.78,"56,130.27","56,593.06",100.00%,"56,593.06","56,593.06",100.00%,高雄市,"56,593.06",100.00%,半導體製造業,半導體業
112,S2201118,南亞塑膠工業股份有限公司仁武廠,南亞塑膠工業股份有限公司,75370905,"1,211.31","26,379.01","27,590.32",0.74%,"3,752,539.36","2,988,528.75",79.64%,高雄市,"27,590.32",0.74%,塑膠製品製造業,石化業
112,S1900694,台灣石化合成股份有限公司林園廠,台灣石化合成股份有限公司,30974253,"46,948.23","37,895.67","84,843.90",100.00%,"84,843.90","84,843.90",100.00%,高雄市,"84,843.90",100.00%,未分類其他化學製品製造業,石化業
112,S1901002,合興石化工業股份有限公司林園廠,合興石化工業股份有限公司,23531178,"23,591.98","27,132.48","50,724.46",100.00%,"50,724.46","50,724.46",100.00%,高雄市,"50,724.46",100.00%,未分類其他化學製品製造業,石化業
112,E1901105,台合科技股份有限公司,台合科技股份有限公司,12691423,"28,380.83","3,619.94","32,000.77",100.00%,"32,000.77","32,000.77",100.00%,高雄市,"32,000.77",100.00%,未分類其他化學製品製造業,石化業
112,S2900821,長興材料工業股份有限公司路竹廠,長興材料工業股份有限公司,75339004,"13,974.88","17,360.05","31,334.93",100.00%,"31,334.93","31,334.93",100.00%,高雄市,"31,334.93",100.00%,未分類其他化學製品製造業,石化業
112,S1695018,漢翔航空工業股份有限公司岡山廠,漢翔航空工業股份有限公司,97160544,"3,580.15","23,297.85","26,878.01",100.00%,"26,878.01","26,878.01",100.00%,高雄市,"26,878.01",100.00%,未分類其他運輸工具及其零件製造業,航空業
112,E5600056,台灣中油股份有限公司煉製事業部大林煉油廠,台灣中油股份有限公司,	03707901,"2,411,792.56","559,977.53","2,971,770.08",45.42%,"6,542,927.09","6,542,927.09",100.00%,高雄市,"4,886,391.26",74.68%,石油及煤製品製造業,石化業
112,S2300429,國喬石油化學股份有限公司高雄廠,國喬石油化學股份有限公司,	04212250,"416,998.26","20,354.38","437,352.64",100.00%,"437,352.64","437,352.64",100.00%,高雄市,"437,352.64",100.00%,石油及煤製品製造業,石化業
112,E1902497,林園先進材料科技股份有限公司,林園先進材料科技股份有限公司,42818882,"204,778.65","26,068.95","230,847.60",100.00%,"230,847.60","230,847.60",100.00%,高雄市,"230,847.60",100.00%,石油及煤製品製造業,石化業
112,S29A1607,群創光電股份有限公司F廠,群創光電股份有限公司,12800225,"8,900.00","346,759.81","355,659.81",14.74%,"2,412,735.52","2,412,735.52",100.00%,高雄市,"487,561.54",20.21%,光電材料及元件製造業,光電業
112,E2902160,群創光電股份有限公司T6廠,群創光電股份有限公司,12800225,"3,388.46","128,513.28","131,901.74",5.47%,"2,412,735.52","2,412,735.52",100.00%,高雄市,"487,561.54",20.21%,光電材料及元件製造業,光電業
112,E2902964,友達光電股份有限公司高雄廠,友達光電股份有限公司,84149738,143.45,"26,053.09","26,196.55",1.33%,"1,971,912.89","1,971,912.89",100.00%,高雄市,"26,196.55",1.33%,光電材料及元件製造業,光電業
112,E54A4603,頎邦科技股份有限公司南一廠,頎邦科技股份有限公司,16130009,217.23,"22,244.42","22,461.66",16.58%,"135,476.18","22,461.66",16.58%,高雄市,"46,894.42",34.61%,印刷電路板製造業,電子業
112,E4900753,楠梓電子股份有限公司二廠,楠梓電子股份有限公司,76026851,738.45,"29,449.51","30,187.97",100.00%,"30,187.97","30,187.97",100.00%,高雄市,"30,187.97",100.00%,印刷電路板製造業,電子業
112,S1601570,燁興企業股份有限公司軋鋼廠,燁興企業股份有限公司,75992214,"11,895.36","16,193.17","28,088.52",100.00%,"28,088.52","28,088.52",100.00%,高雄市,"28,088.52",100.00%,其他金屬製品製造業,鋼鐵業
112,E5602934,中聯資源股份有限公司臨海廠,中聯資源股份有限公司,86119908,"20,695.62","19,743.87","40,439.49",31.22%,"129,511.28","129,511.28",100.00%,高雄市,"71,675.67",55.34%,其他非金屬礦物製品製造業,非金屬製品加工業
112,E5601697,中聯資源股份有限公司,中聯資源股份有限公司,86119908,"12,070.57","19,165.61","31,236.18",24.12%,"129,511.28","129,511.28",100.00%,高雄市,"71,675.67",55.34%,其他非金屬礦物製品製造業,非金屬製品加工業
112,E5600869,台灣糖業股份有限公司小港廠,台灣糖業股份有限公司,	03794905,"59,740.89","2,787.62","62,528.51",100.00%,"62,528.51","62,528.51",100.00%,高雄市,"62,528.51",100.00%,其他食品製造業,食品業
112,E5601080,漢泰鋼鐵廠股份有限公司,漢泰鋼鐵廠股份有限公司,75688109,"32,352.48","14,637.55","46,990.03",100.00%,"46,990.03","46,990.03",100.00%,高雄市,"46,990.03",100.00%,其他基本金屬製造業,鋼鐵業
112,S1601203,春雨工廠股份有限公司,春雨工廠股份有限公司,88187108,"12,796.06","8,297.60","21,093.65",100.00%,"21,093.65","21,093.65",100.00%,高雄市,"21,093.65",100.00%,其他基本金屬製造業,鋼鐵業
112,E4901947,華泰電子股份有限公司企業總部大樓工廠,華泰電子股份有限公司,89004161,258.56,"38,278.28","38,536.84",54.25%,"71,037.46","38,536.84",54.25%,高雄市,"71,037.46",100.00%,其他電子零組件製造業,電子業
112,E5603655,李長榮科技股份有限公司銅箔廠,李長榮科技股份有限公司,97173920,156.00,"58,566.90","58,722.90",100.00%,"58,722.90","58,722.90",100.00%,高雄市,"58,722.90",100.00%,金屬加工處理業,銅製造業
112,S2500536,燁輝企業股份有限公司高雄一廠,燁輝企業股份有限公司,75947936,"49,540.49","69,390.80","118,931.29",81.82%,"145,362.35","145,362.35",100.00%,高雄市,"118,931.29",81.82%,金屬加工處理業,鋼鐵業
112,S2602473,裕鐵企業股份有限公司岡山二廠,裕鐵企業股份有限公司,85978401,"24,470.29","38,470.31","62,940.60",64.42%,"97,696.59","97,696.59",100.00%,高雄市,"97,696.59",100.00%,金屬加工處理業,鋼鐵業
112,S26A0793,裕鐵企業股份有限公司岡山三廠,裕鐵企業股份有限公司,85978401,"24,786.05","9,969.94","34,755.98",35.58%,"97,696.59","97,696.59",100.00%,高雄市,"97,696.59",100.00%,金屬加工處理業,鋼鐵業
112,E5600565,盛餘股份有限公司,盛餘股份有限公司,79837539,"27,121.56","47,350.66","74,472.23",100.00%,"74,472.23","74,472.23",100.00%,高雄市,"74,472.23",100.00%,金屬加工處理業,鋼鐵業
112,S1601178,晉禾企業股份有限公司,晉禾企業股份有限公司,88680066,"5,154.06","20,435.17","25,589.24",100.00%,"25,589.24","25,589.24",100.00%,高雄市,"25,589.24",100.00%,金屬加工處理業,鋼鐵業
112,S3200946,台灣中油股份有限公司天然氣事業部永安液化天然氣廠,台灣中油股份有限公司,	03707901,"10,480.23","98,300.47","108,780.70",1.66%,"6,542,927.09","6,542,927.09",100.00%,高雄市,"4,886,391.26",74.68%,氣體燃料供應業,石化業
112,S2100223,中華紙漿股份有限公司久堂廠,中華紙漿股份有限公司,94025264,"385,792.01","22,928.29","408,720.30",56.18%,"727,555.62","727,555.62",100.00%,高雄市,"408,720.30",56.18%,紙漿、紙及紙板製造業,造紙業
