年度,公司,事業統編,統編補0,行業分類,行業大類,2020,2021,2022,2023,2024,2025
112,白馬窯業股份有限公司,34258318,34258318,耐火、黏土建材及其他陶瓷製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,三洋窯業股份有限公司,34263157,34263157,其他非金屬礦物製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,大享容器工業股份有限公司,46007218,46007218,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,華夏玻璃股份有限公司,47109348,47109348,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,冠軍建材股份有限公司,49701774,49701774,耐火、黏土建材及其他陶瓷製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,艾杰旭顯示玻璃股份有限公司,70584724,70584724,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,安瀚視特股份有限公司,70781345,70781345,玻璃及其製品製造業,非金屬製品加工業,0.0,0.0,0.0,0.0,0.0,0.0
112,上銀科技股份有限公司,23503047,23503047,金屬加工用機械設備製造業,金屬加工用機械設備製造業,0.0,0.0,0.0,0.0,0.0,0.0
112,國瑞汽車股份有限公司,12488060,12488060,車體製造業,汽機車業,0.0,0.0,0.0,0.0,0.0,0.0
112,三陽工業股份有限公司,24004006,24004006,機車及其零件製造業,汽機車業,0.0,0.0,0.0,0.0,0.0,0.0
112,六和機械股份有限公司,44528635,44528635,汽車零件製造業,汽機車業,0.0,0.0,0.0,0.0,0.0,0.0
112,和大工業股份有限公司,52264848,52264848,汽車零件製造業,汽機車業,0.0,0.0,0.0,0.0,0.0,0.0
112,巨大機械工業股份有限公司,56054251,56054251,自行車及其零件製造業,自行車業,0.0,0.0,0.0,0.0,0.0,0.0
112,群創光電股份有限公司,12800225,12800225,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,凌巨科技股份有限公司,16432742,16432742,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,瀚宇彩晶股份有限公司,16450500,16450500,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,元太科技工業股份有限公司,22099890,22099890,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,大立光電股份有限公司,22480876,22480876,光學儀器及設備製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
112,友達晶材股份有限公司,24410807,24410807,光電材料及元件製造業,光電業,0.0,0.0,0.0,0.0,0.0,0.0
