證券代號,公司名稱,業別,2024年度總能源使用量,2023年度總能源使用量,2022年度總能源使用量,使用變化,2024營收,2023營收,2022營收,營收變化,2024能效,2023能效,2022能效,能效進步率
1709,和益化學工業股份有限公司,石化業,"1,280,465,000.00","1,330,309,000.00","1,299,940,000.00","-19,475,000.00","10,304,487,000","9,432,293,000","10,571,226,000","-266,739,000",0.1242628575,0.1410377095,0.1229696537,1.05%
6581,台灣鋼聯股份有限公司,石化業,"912,333,000.00","857,334,000.00","924,700,000.00","-12,367,000.00","2,378,461,000","2,041,441,000","2,637,583,000","-259,122,000",0.3835812317,0.4199651129,0.3505861237,9.41%
2342,台灣茂矽電子股份有限公司,半導體業,"345,627,000.00",NA,NA,#VALUE!,"1,893,958,000","1,483,112,000","2,151,511,000","-257,553,000",0.1824892632,#VALUE!,#VALUE!,缺能源
2323,中環股份有限公司,光電業,"313,905,000.00","326,469,000.00",NA,#VALUE!,"7,435,183,000","7,384,447,000","7,692,376,000","-257,193,000",0.0422188667,0.04421035184,#VALUE!,缺能源
2340,台亞半導體股份有限公司,半導體業,"333,761,510.00","261,672,000.00","249,024,000.00","84,737,510.00","4,299,897,000","3,972,279,000","4,529,777,000","-229,880,000",0.0776208151,0.06587452694,0.0549748917,41.19%
4401,東隆興業股份有限公司,紡織業,"457,972,400.00","313,020,700.00","539,519,600.00","-81,547,200.00","3,921,876,000","2,818,246,000","4,099,883,000","-178,007,000",0.1167738093,0.1110693318,0.1315939016,-11.26%
1220,台榮產業股份有限公司,食品業,"516,987,320,000.00",NA,NA,#VALUE!,"3,480,143,000","3,293,888,000","3,537,556,000","-57,413,000",148.5534704,#VALUE!,#VALUE!,缺能源
1470,大統新創股份有限公司,紡織業,"178,024,330.00","175,035,290.00","289,620,790.00","-111,596,460.00","788,039,000","655,221,000","845,152,000","-57,113,000",0.2259080198,0.2671393164,0.3426848543,-34.08%
1307,三芳化學工業股份有限公司,石化業,"1,329,589,000.00",NA,NA,#VALUE!,"10,779,822,000","10,086,736,000","10,763,499,000","16,323,000",0.1233405338,#VALUE!,#VALUE!,缺能源
2007,燁興企業股份有限公司,鋼鐵業,"766,772,000.00","457,442,000.00","686,035,000.00","80,737,000.00","6,899,957,000","5,015,149,000","6,828,696,000","71,261,000",0.1111270693,0.09121204574,0.1004635438,10.61%
1455,集盛實業股份有限公司,紡織業,"1,166,923,000.00","1,014,199,000.00","1,133,056,000.00","33,867,000.00","9,427,002,000","7,740,588,000","9,301,445,000","125,557,000",0.1237851652,0.1310235088,0.1218150513,1.62%
1409,新光合成纖維股份有限公司,紡織業,"2,993,900,000.00",NA,NA,#VALUE!,"46,149,165,000","39,565,140,000","45,967,673,000","181,492,000",0.06487441322,#VALUE!,#VALUE!,缺能源
2006,東和鋼鐵企業股份有限公司,鋼鐵業,"5,961,912,000.00","6,245,924,000.00","5,712,544,000.00","249,368,000.00","60,162,997,000","60,961,908,000","59,972,121,000","190,876,000",0.09909599417,0.1024561764,0.09525332612,4.03%
3265,台星科股份有限公司,半導體業,"216,370,760.00","209,770,910.00","216,933,000.00","-562,240.00","4,166,570,000","3,667,818,000","3,947,152,000","219,418,000",0.05193018718,0.0571922898,0.05495937324,-5.51%
3645,達邁科技股份有限公司,石化業,"512,259,190.00","429,876,510.00","471,300,240.00","40,958,950.00","2,246,579,000","1,593,021,000","1,889,360,000","357,219,000",0.228017439,0.2698498702,0.2494496761,-8.59%
8028,昇陽國際半導體股份有限公司,半導體業,"174,777,000.00","178,314,000.00","140,701,000.00","34,076,000.00","3,551,607,000","3,327,700,000","3,138,053,000","413,554,000",0.04921068125,0.05358475824,0.04483703749,9.75%
1806,冠軍建材股份有限公司,其他,"909,289,150.00","1,250,285,760.00","1,217,688,250.00","-308,399,100.00","3,429,476,000","3,137,657,000","3,006,408,000","423,068,000",0.2651393828,0.3984775136,0.4050309373,-34.54%
1456,怡華實業股份有限公司,紡織業,"130,026,587.20",NA,NA,#VALUE!,"1,042,275,000","1,684,895,000","617,250,000","425,025,000",0.1247526682,#VALUE!,#VALUE!,缺能源
6491,晶碩光學股份有限公司,玻璃業,"301,381,830.00","303,522,340.00",NA,#VALUE!,"6,817,305,000","6,789,861,000","6,321,198,000","496,107,000",0.04420835359,0.04470229067,#VALUE!,缺能源
5009,榮剛材料科技股份有限公司,鋼鐵業,"2,411,799,000.00","2,308,178,000.00","2,522,423,000.00","-110,624,000.00","12,864,438,000","13,525,251,000","12,365,317,000","499,121,000",0.1874779917,0.1706569438,0.203991778,-8.10%
1313,聯成化學科技股份有限公司,石化業,"277,289,750.00","270,761,770.00","215,362,280.00","61,927,470.00","73,320,280,000","73,196,046,000","72,819,643,000","500,637,000",0.003781897041,0.003699131098,0.002957475087,27.88%
