年度,管制編號,事業名稱,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類
104,P4602758,富喬工業股份有限公司,16834268,"52,957.00","65,557.00","118,514.00",雲林縣,其他非金屬礦物製品製造業
104,P46A0693,旭硝子顯示玻璃股份有限公司斗六二廠,70584724,"83,025.00","126,407.00","209,432.00",雲林縣,玻璃及其製品製造業
104,P48A0851,富喬工業股份有限公司雲林分公司,16834268,"39,891.00","47,982.00","87,873.00",雲林縣,玻璃及其製品製造業
104,P5500191,合眾紙業股份有限公司林內廠,	04380087,"35,535.00","29,903.00","65,438.00",雲林縣,紙漿、紙及紙板製造業
104,P5801513,南亞塑膠工業股份有限公司麥寮廠,75370905,"532,566.00","956,244.00","1,488,810.00",雲林縣,化學原材料製造業
104,P5801602,台灣塑膠工業股份有限公司麥寮廠,75708007,"603,674.00","3,978,496.00","4,582,170.00",雲林縣,未分類其他化學製品製造業
104,P5801719,麥寮汽電股份有限公司,96975970,"12,161,743.00",122.00,"12,161,865.00",雲林縣,電力供應業
104,P5801728,台塑石化股份有限公司麥寮二廠,86522210,"4,961,117.00","234,537.00","5,195,654.00",雲林縣,未分類其他化學製品製造業
104,P5801773,台灣化學纖維股份有限公司麥寮廠,58650902,"532,600.00","1,281,195.00","1,813,795.00",雲林縣,化學原材料製造業
104,P5802092,台灣化學纖維股份有限公司海豐廠,58650902,"1,340,464.00","2,290,203.00","3,630,667.00",雲林縣,化學原材料製造業
104,P5802387,大連化學工業股份有限公司麥寮廠,12233428,"93,802.00","718,532.00","812,334.00",雲林縣,化學原材料製造業
104,P5802421,台塑石化股份有限公司麥寮一廠,86522210,"16,296,095.00",,"16,296,095.00",雲林縣,化學原材料製造業
104,P5802430,台塑石化股份有限公司麥寮三廠,86522210,"7,968,057.00","67,489.00","8,035,546.00",雲林縣,未分類其他化學製品製造業
104,P5805244,南亞塑膠工業股份有限公司海豐總廠,75370905,"385,627.00","1,217,152.00","1,602,779.00",雲林縣,化學原材料製造業
104,Q6901613,福隆玻璃纖維股份有限公司,22663571,"30,509.00","23,265.00","53,774.00",嘉義縣,其他非金屬礦物製品製造業
