於該縣市合計排放量(公噸CO2e),全台,台中市,台東縣,台南市,宜蘭市,宜蘭縣,花蓮縣,南投縣,屏東縣,苗栗縣,桃園市,高雄市,基隆市,雲林縣,新北市,新竹市,新竹縣,嘉義縣,彰化縣
金像電子股份有限公司,"83,259",0,0,0,0,0,0,0,0,0,"83,259",0,0,0,0,0,0,0,0
台灣石化合成股份有限公司,"84,844",0,0,0,0,0,0,0,0,0,0,"84,844",0,0,0,0,0,0,0
正隆股份有限公司,"1,338,222","839,855",0,0,0,0,0,0,0,0,"343,763",0,0,0,0,"25,721","128,884",0,0
怡華實業股份有限公司,"33,730",0,0,"33,730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
德州儀器工業股份有限公司,"47,921",0,0,0,0,0,0,0,0,0,0,0,0,0,"47,921",0,0,0,0
力鵬企業股份有限公司,"208,485",0,0,0,0,0,0,0,0,0,"78,211",0,0,0,0,0,0,0,"130,274"
錦美紙業股份有限公司,"33,756",0,0,0,0,0,0,0,0,0,"33,756",0,0,0,0,0,0,0,0
榮成紙業股份有限公司,"747,331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"747,331"
金元福包裝企業股份有限公司,"24,895",0,0,0,"24,895",0,0,0,0,0,0,0,0,0,0,0,0,0,0
白馬窯業股份有限公司,"29,800",0,0,0,0,0,0,0,0,0,"29,800",0,0,0,0,0,0,0,0
三洋窯業股份有限公司,"36,225",0,0,0,0,0,0,0,0,0,0,0,0,0,"36,225",0,0,0,0
台灣半導體股份有限公司,"14,804",0,0,0,0,"14,804",0,0,0,0,0,0,0,0,0,0,0,0,0
中興紡織廠股份有限公司,"65,538",0,0,0,0,0,0,0,0,0,"65,538",0,0,0,0,0,0,0,0
和友紡織股份有限公司,"22,714",0,0,0,0,0,0,0,0,0,"22,714",0,0,0,0,0,0,0,0
華新麗華股份有限公司,"293,730","80,657",0,"213,073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣湯淺電池股份有限公司,"23,711",0,0,0,0,"23,711",0,0,0,0,0,0,0,0,0,0,0,0,0
台灣卜蜂企業股份有限公司,"37,424",0,0,0,0,0,0,"37,424",0,0,0,0,0,0,0,0,0,0,0
國聯矽業化學股份有限公司,"32,133",0,0,0,0,0,0,0,0,0,"32,133",0,0,0,0,0,0,0,0
台硝股份有限公司,"63,984",0,0,0,0,0,0,0,0,0,"63,984",0,0,0,0,0,0,0,0
台灣通用器材股份有限公司,"47,916",0,0,0,0,0,0,0,0,0,0,0,0,0,"47,916",0,0,0,0
李長榮化學工業股份有限公司,"215,745",0,0,0,0,0,0,0,0,0,0,"215,745",0,0,0,0,0,0,0
幸福水泥股份有限公司,"606,630",0,0,0,0,"606,630",0,0,0,0,0,0,0,0,0,0,0,0,0
羅東鋼鐵廠股份有限公司,"143,940",0,0,0,0,"143,940",0,0,0,0,0,0,0,0,0,0,0,0,0
林園先進材料科技股份有限公司,"230,848",0,0,0,0,0,0,0,0,0,0,"230,848",0,0,0,0,0,0,0
台灣普利司通股份有限公司,"27,766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,766",0,0
集盛實業股份有限公司,"110,626",0,0,0,0,0,0,0,0,0,"110,626",0,0,0,0,0,0,0,0
敬鵬工業股份有限公司,"58,414",0,0,0,0,0,0,0,0,0,"58,414",0,0,0,0,0,0,0,0
六和機械股份有限公司,"40,338",0,0,0,0,0,0,0,0,0,"40,338",0,0,0,0,0,0,0,0
台灣華可貴股份有限公司,"23,882",0,0,0,0,0,0,0,0,0,"23,882",0,0,0,0,0,0,0,0
名佳利金屬工業股份有限公司,"40,220",0,0,0,0,0,0,0,0,0,"40,220",0,0,0,0,0,0,0,0
大享容器工業股份有限公司,"48,125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"48,125",0,0
華夏玻璃股份有限公司,"102,152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102,152",0,0,0
聯華電子股份有限公司,"1,430,027",0,0,"794,301",0,0,0,0,0,0,0,0,0,0,0,"554,638","81,088",0,0
台亞半導體股份有限公司,"29,471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,471",0,0,0
冠軍建材股份有限公司,"88,417",0,0,0,0,0,0,0,0,"88,417",0,0,0,0,0,0,0,0,0
廣源造紙股份有限公司,"103,832","103,832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盧森堡商達爾國際股份有限公司,"40,586",0,0,0,0,0,0,0,0,0,0,0,"10,359",0,0,"30,227",0,0,0
和大工業股份有限公司,"27,539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,539",0
聯穎光電股份有限公司,"46,705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46,705",0,0
古河銅箔股份有限公司,"20,753",0,0,0,0,0,0,0,0,0,0,0,0,"20,753",0,0,0,0,0
台塑科騰化學有限公司,"61,998",0,0,0,0,0,0,0,0,0,0,0,0,"61,998",0,0,0,0,0
漢磊科技股份有限公司,"62,555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,433","51,122",0,0
美商蘋果電子股份有限公司,"28,280",0,0,0,0,0,0,0,0,0,"28,280",0,0,0,0,0,0,0,0
東齊染整股份有限公司,"30,654",0,0,0,0,0,0,0,0,0,"30,654",0,0,0,0,0,0,0,0
豐興鋼鐵股份有限公司,"696,740","696,740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建順煉鋼股份有限公司,"129,585",0,0,0,0,0,0,0,0,"129,585",0,0,0,0,0,0,0,0,0
矽品精密工業股份有限公司,"559,059","404,054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,502",0,"110,503"
巨大機械工業股份有限公司,"19,911","19,911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
味丹企業股份有限公司,"47,645","47,645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大鐘印染股份有限公司,"19,943",0,0,0,0,0,0,0,0,0,"19,943",0,0,0,0,0,0,0,0
宏全國際股份有限公司,"35,958","35,958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣化學纖維股份有限公司,"8,022,913",0,0,0,0,"1,408,052",0,0,0,0,0,0,0,"4,507,874",0,0,0,"2,086,574","20,412"
