年度,管制編號,事業名稱,公司,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),工廠排放量佔比,公司總排放量,行業大類排放量,行業大類佔比,縣市別,縣市別排放量,縣市別排放量佔比,行業分類,行業大類,永續報告書有無,是否有報告,報告書收錄連結,報告書／資訊狀態,所屬集團,資訊來源,統編_trim,收錄 ETF
112,N1400562,榮成紙業股份有限公司,榮成紙業股份有限公司,34202841,"232,555.03","262,149.96","494,705.00",66.20%,"747,331.29","747,331.29",100.00%,彰化縣,"747,331.29",100.00%,紙漿、紙及紙板製造業,造紙業,造紙工業,是,https://drive.google.com/file/d/1gp2j0AWScTljPcaF4tK5cTYeRDjscW2d/view,,,,34202841
112,S2100223,中華紙漿股份有限公司久堂廠,中華紙漿股份有限公司,94025264,"385,792.01","22,928.29","408,720.30",56.18%,"727,555.62","727,555.62",100.00%,高雄市,"408,720.30",56.18%,紙漿、紙及紙板製造業,造紙業,造紙工業,是,https://drive.google.com/file/d/1svxx5iRm3kCd0XIrqv2jgH1seCEEIBRQ/view,,,,94025264,006204
112,L9200728,豐興鋼鐵股份有限公司,豐興鋼鐵股份有限公司,55389357,"197,345.96","499,394.27","696,740.22",100.00%,"696,740.22","696,740.22",100.00%,台中市,"696,740.22",100.00%,鋼鐵製造業,鋼鐵業,鋼鐵工業,是,https://drive.google.com/file/d/1AFbIQbh8ua4DVNsaIYRR9nFKoB5j50Q1/view,,,,55389357,"006204, 00713"
112,G37A0585,潤泰精密材料股份有限公司宜蘭冬山廠,潤泰精密材料股份有限公司,86871981,"626,513.58","47,822.36","674,335.94",100.00%,"674,335.94","674,335.94",100.00%,宜蘭縣,"674,335.94",100.00%,水泥及其製品製造業,水泥業,其他,是,https://drive.google.com/file/d/1li4epHYsMXWj1Dftr2yt89oA-fIcVbmf/view,,,,86871981
112,H46B0495,世界先進積體電路股份有限公司晶圓三廠,世界先進積體電路股份有限公司,84149358,"58,293.42","200,679.68","258,973.10",40.96%,"632,278.14","632,278.14",100.00%,桃園市,"258,973.10",40.96%,半導體製造業,半導體業,半導體業,是,https://drive.google.com/file/d/14EbAxIbVZHD8cNdDC8DMqi2XqFgQ9KmD/view,,,,84149358,"0057, 006203, 00878, 00881, 00891, 00896, 00900, 00901, 00904, 00913, 00918, 00919, 00927, 00929, 00935, 00936, 00939, 00943, 00944, 00946, 00952, 00961, 00962"
112,H5200215,永豐餘工業用紙股份有限公司新屋廠,永豐餘工業用紙股份有限公司,27719048,"592,228.03","22,735.75","614,963.78",100.00%,"614,963.78","614,963.78",100.00%,桃園市,"614,963.78",100.00%,其他紙製品製造業,造紙業,非屬公開發行,是,https://drive.google.com/file/d/1Xs3TXLsJmD-7YVvWOBC-pkcCwcXlUkNN/view,永續報告書,永豐餘,,27719048
112,G4100017,幸福水泥股份有限公司東澳廠,幸福水泥股份有限公司,40601248,"569,060.22","37,569.29","606,629.51",100.00%,"606,629.51","606,629.51",100.00%,宜蘭縣,"606,629.51",100.00%,水泥及其製品製造業,水泥業,水泥工業,是,https://drive.google.com/file/d/1oiA8s_e_j-RxMXWy9GCfNOa8r0qoypB5/view,,,,40601248
112,E2000554,錦州科技股份有限公司大發廠,錦州科技股份有限公司,53520959,"598,052.38","2,776.08","600,828.46",100.00%,"600,828.46","600,828.46",100.00%,高雄市,"600,828.46",100.00%,蒸汽供應業,電力業,非屬公開發行,否,,電力業歸在不收的範疇,,,53520959
112,N08A1098,台灣玻璃工業股份有限公司鹿港平板廠,台灣玻璃工業股份有限公司,11914002,"107,631.88","14,734.85","122,366.73",20.43%,"598,879.83","598,879.83",100.00%,彰化縣,"229,940.95",38.40%,玻璃及其製品製造業,非金屬製品加工業,玻璃陶瓷,是,https://drive.google.com/file/d/1QrogbVB20kwP0kv64yD-esTahRzO-yyf/view,,,,11914002,"006204, 00918"
112,G3200849,信大水泥股份有限公司南聖湖廠,信大水泥股份有限公司,	03279507,"551,764.81","40,857.11","592,621.92",100.00%,"592,621.92","592,621.92",100.00%,宜蘭縣,"592,621.92",100.00%,水泥及其製品製造業,水泥業,水泥工業,是,https://drive.google.com/file/d/1_1Emqi9ZwPQZSKA3A_SFBjRAU7pl26rI/view,,,,03279507
