公司,事業統編,工廠數,2023排放量,行業別,排放量扣除額,碳費基準每噸300元,碳費基準!00,碳費基準50,營業收入,營業成本,本期淨利,300佔營收,300佔成本-外加,300佔淨利
精材科技股份有限公司,16741846,3,"118,492.83",電子業,75000,"NT$1,304.78 萬元",NT$434.93 萬元,NT$217.46 萬元,"NT$638,687.00 萬元","NT$420,766.00 萬元","NT$137,577.00 萬元",0.20%,0.31%,0.95%
福懋科技股份有限公司,23826736,1,"112,003.28",半導體業,25000,"NT$2,610.10 萬元",NT$870.03 萬元,NT$435.02 萬元,"NT$764,859.00 萬元","NT$704,569.00 萬元","NT$53,022.00 萬元",0.34%,0.37%,4.92%
集盛實業股份有限公司,43295237,3,"110,625.59",紡織業,75000,"NT$1,068.77 萬元",NT$356.26 萬元,NT$178.13 萬元,"NT$774,059.00 萬元","NT$788,971.00 萬元","-NT$24,016.00 萬元",0.14%,0.14%,淨利為負值
永豐餘消費品實業股份有限公司,22327037,2,"109,560.84",造紙業,50000,"NT$1,786.83 萬元",NT$595.61 萬元,NT$297.80 萬元,"NT$1,026,480.00 萬元","NT$764,146.00 萬元","NT$97,160.00 萬元",0.17%,0.23%,1.84%
亞洲聚合股份有限公司,20747385,1,"107,965.08",石化業,25000,"NT$2,488.95 萬元",NT$829.65 萬元,NT$414.83 萬元,"NT$671,713.00 萬元","NT$557,113.00 萬元","NT$11,628.00 萬元",0.37%,0.45%,21.40%
華夏海灣塑膠股份有限公司,11686106,1,"104,626.60",石化業,25000,"NT$2,388.80 萬元",NT$796.27 萬元,NT$398.13 萬元,"NT$1,370,731.00 萬元","NT$1,203,054.00 萬元","NT$39,367.00 萬元",0.17%,0.20%,6.07%
金居開發股份有限公司,16447610,2,"104,357.19",銅製造業,50000,"NT$1,630.72 萬元",NT$543.57 萬元,NT$271.79 萬元,"NT$616,950.00 萬元","NT$528,572.00 萬元","NT$53,291.00 萬元",0.26%,0.31%,3.06%
廣源造紙股份有限公司,50301500,1,"103,831.75",造紙業,25000,"NT$2,364.95 萬元",NT$788.32 萬元,NT$394.16 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
華夏玻璃股份有限公司,47109348,1,"102,151.53",非金屬製品加工業,25000,"NT$2,314.55 萬元",NT$771.52 萬元,NT$385.76 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
超豐電子股份有限公司,	05126366,2,"101,002.75",半導體業,50000,"NT$1,530.08 萬元",NT$510.03 萬元,NT$255.01 萬元,"NT$1,357,008.00 萬元","NT$1,074,011.00 萬元","NT$199,662.00 萬元",0.11%,0.14%,0.77%
大統益股份有限公司,20927014,1,"100,777.33",食品業,25000,"NT$2,273.32 萬元",NT$757.77 萬元,NT$378.89 萬元,"NT$2,356,035.00 萬元","NT$2,103,510.00 萬元","NT$125,374.00 萬元",0.10%,0.11%,1.81%
裕鐵企業股份有限公司,85978401,2,"97,696.59",鋼鐵業,50000,"NT$1,430.90 萬元",NT$476.97 萬元,NT$238.48 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯成鋼鐵股份有限公司,22822748,1,"97,279.52",鋼鐵業,25000,"NT$2,168.39 萬元",NT$722.80 萬元,NT$361.40 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
宏遠興業股份有限公司,22817999,1,"95,849.40",紡織業,25000,"NT$2,125.48 萬元",NT$708.49 萬元,NT$354.25 萬元,"NT$783,864.00 萬元","NT$753,294.00 萬元","-NT$121,197.00 萬元",0.27%,0.28%,淨利為負值
台灣銅箔股份有限公司,61932639,1,"95,837.29",銅製造業,25000,"NT$2,125.12 萬元",NT$708.37 萬元,NT$354.19 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
冠軍建材股份有限公司,49701774,1,"88,416.84",非金屬製品加工業,25000,"NT$1,902.51 萬元",NT$634.17 萬元,NT$317.08 萬元,"NT$313,766.00 萬元","NT$223,235.00 萬元",NT$41.00 萬元,0.61%,0.85%,4640.26%
高雄塑酯化學工業股份有限公司,85803825,1,"87,789.50",石化業,25000,"NT$1,883.69 萬元",NT$627.90 萬元,NT$313.95 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
燿華電子股份有限公司,	05637971,2,"87,482.71",電子業,50000,"NT$1,124.48 萬元",NT$374.83 萬元,NT$187.41 萬元,"NT$1,496,082.00 萬元","NT$1,360,682.00 萬元","-NT$34,424.00 萬元",0.08%,0.08%,淨利為負值
唐榮鐵工廠股份有限公司,75460005,1,"86,380.27",鋼鐵業,25000,"NT$1,841.41 萬元",NT$613.80 萬元,NT$306.90 萬元,"NT$1,070,664.00 萬元","NT$1,157,095.00 萬元","-NT$112,532.00 萬元",0.17%,0.16%,淨利為負值
台灣石化合成股份有限公司,30974253,1,"84,843.90",石化業,25000,"NT$1,795.32 萬元",NT$598.44 萬元,NT$299.22 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
中鋼碳素化學股份有限公司,23221384,1,"83,693.76",石化業,25000,"NT$1,760.81 萬元",NT$586.94 萬元,NT$293.47 萬元,"NT$831,768.00 萬元","NT$622,177.00 萬元","NT$143,628.00 萬元",0.21%,0.28%,1.23%
金像電子股份有限公司,30955404,1,"83,259.20",電子業,25000,"NT$1,747.78 萬元",NT$582.59 萬元,NT$291.30 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣鋼聯股份有限公司,89528054,1,"82,523.04",石化業,25000,"NT$1,725.69 萬元",NT$575.23 萬元,NT$287.62 萬元,"NT$204,144.00 萬元","NT$116,777.00 萬元","NT$50,462.00 萬元",0.85%,1.48%,3.42%
三義化學工業股份有限公司,23827741,1,"80,683.78",石化業,25000,"NT$1,670.51 萬元",NT$556.84 萬元,NT$278.42 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
正新橡膠工業股份有限公司,59504506,2,"79,551.45",石化業,50000,NT$886.54 萬元,NT$295.51 萬元,NT$147.76 萬元,"NT$9,620,131.00 萬元","NT$7,281,263.00 萬元","NT$719,796.00 萬元",0.01%,0.01%,0.12%
艾克爾國際科技股份有限公司,16631664,2,"78,213.33",半導體業,50000,NT$846.40 萬元,NT$282.13 萬元,NT$141.07 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
環球橡膠股份有限公司,29058640,1,"77,863.80",石化業,25000,"NT$1,585.91 萬元",NT$528.64 萬元,NT$264.32 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
南中石化工業股份有限公司,97161348,1,"77,711.63",石化業,25000,"NT$1,581.35 萬元",NT$527.12 萬元,NT$263.56 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
統一企業股份有限公司,73251209,2,"77,562.29",食品業,50000,NT$826.87 萬元,NT$275.62 萬元,NT$137.81 萬元,"NT$58,110,294.00 萬元","NT$39,328,924.00 萬元","NT$3,028,615.00 萬元",0.00%,0.00%,0.03%
晶元光電股份有限公司,84149786,3,"77,385.86",光電業,75000,NT$71.58 萬元,NT$23.86 萬元,NT$11.93 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣寶理塑膠股份有限公司,22853994,1,"76,559.93",石化業,25000,"NT$1,546.80 萬元",NT$515.60 萬元,NT$257.80 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
統一實業股份有限公司,73252657,1,"76,338.59",鋼鐵業,25000,"NT$1,540.16 萬元",NT$513.39 萬元,NT$256.69 萬元,"NT$3,524,020.00 萬元","NT$3,190,008.00 萬元","NT$59,490.00 萬元",0.04%,0.05%,2.59%
國巨股份有限公司,22636630,2,"75,048.35",電子業,50000,NT$751.45 萬元,NT$250.48 萬元,NT$125.24 萬元,"NT$10,760,934.00 萬元","NT$7,158,351.00 萬元","NT$1,756,059.00 萬元",0.01%,0.01%,0.04%
盛餘股份有限公司,79837539,1,"74,472.23",鋼鐵業,25000,"NT$1,484.17 萬元",NT$494.72 萬元,NT$247.36 萬元,"NT$1,238,916.00 萬元","NT$1,103,083.00 萬元","NT$63,072.00 萬元",0.12%,0.13%,2.35%
晶兆成科技股份有限公司,28438025,2,"72,087.01",半導體業,50000,NT$662.61 萬元,NT$220.87 萬元,NT$110.44 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
華泰電子股份有限公司,89004161,2,"71,037.46",電子業,50000,NT$631.12 萬元,NT$210.37 萬元,NT$105.19 萬元,"NT$1,669,044.00 萬元","NT$1,337,514.00 萬元","NT$188,121.00 萬元",0.04%,0.05%,0.34%
晉瑜企業股份有限公司,89939090,2,"69,771.89",水泥業,50000,NT$593.16 萬元,NT$197.72 萬元,NT$98.86 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
元隆電子股份有限公司,22099174,1,"68,999.59",半導體業,25000,"NT$1,319.99 萬元",NT$440.00 萬元,NT$220.00 萬元,"NT$98,761.00 萬元","NT$111,186.00 萬元","-NT$23,000.00 萬元",1.34%,1.19%,淨利為負值
和益化學工業股份有限公司,	04312878,1,"67,652.71",石化業,25000,"NT$1,279.58 萬元",NT$426.53 萬元,NT$213.26 萬元,"NT$943,229.00 萬元","NT$827,660.00 萬元","NT$41,172.00 萬元",0.14%,0.15%,3.11%
中興紡織廠股份有限公司,35082604,1,"65,538.47",石化業,25000,"NT$1,216.15 萬元",NT$405.38 萬元,NT$202.69 萬元,"NT$531,360.00 萬元","NT$493,423.00 萬元","-NT$49,212.00 萬元",0.23%,0.25%,淨利為負值
台硝股份有限公司,38033305,1,"63,984.01",石化業,25000,"NT$1,169.52 萬元",NT$389.84 萬元,NT$194.92 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
合晶科技股份有限公司,16138282,2,"63,725.82",半導體業,50000,NT$411.77 萬元,NT$137.26 萬元,NT$68.63 萬元,"NT$1,004,781.00 萬元","NT$680,131.00 萬元","NT$110,827.00 萬元",0.04%,0.06%,0.37%
得力實業股份有限公司,73686632,1,"63,307.12",紡織業,25000,"NT$1,149.21 萬元",NT$383.07 萬元,NT$191.54 萬元,"NT$983,003.00 萬元","NT$828,064.00 萬元","NT$11,591.00 萬元",0.12%,0.14%,9.91%
台灣恩智浦半導體股份有限公司,89002500,1,"63,083.91",半導體業,25000,"NT$1,142.52 萬元",NT$380.84 萬元,NT$190.42 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
漢磊科技股份有限公司,54389725,3,"62,555.19",半導體業,75000,免徵,免徵,免徵,"NT$708,022.00 萬元","NT$627,073.00 萬元","NT$13,620.00 萬元",無法計算,無法計算,無法計算
台灣糖業股份有限公司,	03794905,1,"62,528.51",食品業,25000,"NT$1,125.86 萬元",NT$375.29 萬元,NT$187.64 萬元,"NT$3,018,722.00 萬元","NT$2,357,869.00 萬元","NT$448,748.00 萬元",0.04%,0.05%,0.25%
台塑科騰化學有限公司,53667030,1,"61,997.85",石化業,25000,"NT$1,109.94 萬元",NT$369.98 萬元,NT$184.99 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
新科光電材料股份有限公司,27366467,1,"60,630.88",石化業,25000,"NT$1,068.93 萬元",NT$356.31 萬元,NT$178.15 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
龍慶鋼鐵企業股份有限公司,85793919,1,"60,183.35",鋼鐵業,25000,"NT$1,055.50 萬元",NT$351.83 萬元,NT$175.92 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
立安東化工股份有限公司,20939460,1,"60,073.61",石化業,25000,"NT$1,052.21 萬元",NT$350.74 萬元,NT$175.37 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
勝一化工股份有限公司,75970680,2,"59,136.40",石化業,50000,NT$274.09 萬元,NT$91.36 萬元,NT$45.68 萬元,"NT$985,291.00 萬元","NT$669,729.00 萬元","NT$157,846.00 萬元",0.03%,0.04%,0.17%
李長榮科技股份有限公司,97173920,1,"58,722.90",銅製造業,25000,"NT$1,011.69 萬元",NT$337.23 萬元,NT$168.61 萬元,"NT$355,797.00 萬元","NT$359,875.00 萬元","-NT$13,377.00 萬元",0.28%,0.28%,淨利為負值
敬鵬工業股份有限公司,43816068,2,"58,414.40",電子業,50000,NT$252.43 萬元,NT$84.14 萬元,NT$42.07 萬元,"NT$1,674,942.00 萬元","NT$1,455,983.00 萬元","NT$76,275.00 萬元",0.02%,0.02%,0.33%
先豐通訊股份有限公司,22554807,1,"57,829.49",電子業,25000,NT$984.88 萬元,NT$328.29 萬元,NT$164.15 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
華東科技股份有限公司,22101116,1,"56,593.06",半導體業,25000,NT$947.79 萬元,NT$315.93 萬元,NT$157.97 萬元,"NT$727,607.00 萬元","NT$714,400.00 萬元","-NT$11,265.00 萬元",0.13%,0.13%,淨利為負值
合眾紙業股份有限公司,	04380087,1,"56,007.74",造紙業,25000,NT$930.23 萬元,NT$310.08 萬元,NT$155.04 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯華氣體工業股份有限公司,	05258865,1,"55,955.89",石化業,25000,NT$928.68 萬元,NT$309.56 萬元,NT$154.78 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
華新科技股份有限公司,19004316,2,"55,941.60",電子業,50000,NT$178.25 萬元,NT$59.42 萬元,NT$29.71 萬元,"NT$3,279,767.00 萬元","NT$2,696,052.00 萬元","NT$265,792.00 萬元",0.01%,0.01%,0.07%
東盟開發實業股份有限公司,88121697,1,"55,475.48",鋼鐵業,25000,NT$914.26 萬元,NT$304.75 萬元,NT$152.38 萬元,"NT$894,351.00 萬元","NT$898,295.00 萬元","-NT$31,201.00 萬元",0.10%,0.10%,淨利為負值
中環股份有限公司,12205020,1,"54,694.42",電子業,25000,NT$890.83 萬元,NT$296.94 萬元,NT$148.47 萬元,"NT$738,445.00 萬元","NT$572,423.00 萬元","NT$175,924.00 萬元",0.12%,0.16%,0.51%
東南實業股份有限公司,11384405,1,"54,159.56",石化業,25000,NT$874.79 萬元,NT$291.60 萬元,NT$145.80 萬元,"NT$587,918.00 萬元","NT$501,965.00 萬元","-NT$2,846.00 萬元",0.15%,0.17%,淨利為負值
義美食品股份有限公司,11768704,1,"53,860.66",食品業,25000,NT$865.82 萬元,NT$288.61 萬元,NT$144.30 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
新唐科技股份有限公司,28112646,1,"53,757.02",半導體業,25000,NT$862.71 萬元,NT$287.57 萬元,NT$143.79 萬元,"NT$3,534,815.00 萬元","NT$2,100,550.00 萬元","NT$242,043.00 萬元",0.02%,0.04%,0.36%
聯成化學科技股份有限公司,	04748660,1,"51,543.54",石化業,25000,NT$796.31 萬元,NT$265.44 萬元,NT$132.72 萬元,"NT$7,319,605.00 萬元","NT$7,098,864.00 萬元","-NT$28,283.00 萬元",0.01%,0.01%,淨利為負值
台日古河銅箔股份有限公司,97168665,1,"51,120.88",銅製造業,25000,NT$783.63 萬元,NT$261.21 萬元,NT$130.60 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
合興石化工業股份有限公司,23531178,1,"50,724.46",石化業,25000,NT$771.73 萬元,NT$257.24 萬元,NT$128.62 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
福隆玻璃纖維股份有限公司,22663571,1,"49,849.95",非金屬製品加工業,25000,NT$745.50 萬元,NT$248.50 萬元,NT$124.25 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
大享容器工業股份有限公司,46007218,1,"48,125.09",非金屬製品加工業,25000,NT$693.75 萬元,NT$231.25 萬元,NT$115.63 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
德州儀器工業股份有限公司,33405832,1,"47,920.69",半導體業,25000,NT$687.62 萬元,NT$229.21 萬元,NT$114.60 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台灣通用器材股份有限公司,38119936,1,"47,916.20",半導體業,25000,NT$687.49 萬元,NT$229.16 萬元,NT$114.58 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
味丹企業股份有限公司,56121907,1,"47,645.00",食品業,25000,NT$679.35 萬元,NT$226.45 萬元,NT$113.23 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
漢泰鋼鐵廠股份有限公司,75688109,1,"46,990.03",鋼鐵業,25000,NT$659.70 萬元,NT$219.90 萬元,NT$109.95 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯穎光電股份有限公司,53170263,1,"46,705.12",半導體業,25000,NT$651.15 萬元,NT$217.05 萬元,NT$108.53 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
誠美材料科技股份有限公司,27790294,1,"46,382.84",光電業,25000,NT$641.49 萬元,NT$213.83 萬元,NT$106.91 萬元,"NT$923,766.00 萬元","NT$887,265.00 萬元","-NT$58,096.00 萬元",0.07%,0.07%,淨利為負值
中聯油脂股份有限公司,89480404,1,"46,277.12",食品業,25000,NT$638.31 萬元,NT$212.77 萬元,NT$106.39 萬元,"NT$1,133,527.00 萬元","NT$1,098,273.00 萬元","NT$16,065.00 萬元",0.06%,0.06%,3.97%
宏捷科技股份有限公司,16130423,1,"46,239.24",半導體業,25000,NT$637.18 萬元,NT$212.39 萬元,NT$106.20 萬元,"NT$272,310.00 萬元","NT$230,837.00 萬元","NT$8,273.00 萬元",0.23%,0.28%,7.70%
精金科技股份有限公司,70750217,1,"45,640.33",光電業,25000,NT$619.21 萬元,NT$206.40 萬元,NT$103.20 萬元,"NT$133,183.00 萬元","NT$215,150.00 萬元","-NT$95,117.00 萬元",0.46%,0.29%,淨利為負值
台燿科技股份有限公司,	04226091,1,"45,464.26",電子業,25000,NT$613.93 萬元,NT$204.64 萬元,NT$102.32 萬元,"NT$1,600,254.00 萬元","NT$1,284,356.00 萬元","NT$82,344.00 萬元",0.04%,0.05%,0.75%
住華科技股份有限公司,70848177,1,"43,815.22",電子業,25000,NT$564.46 萬元,NT$188.15 萬元,NT$94.08 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
藍海氣體工業股份有限公司,28438186,1,"43,581.91",石化業,25000,NT$557.46 萬元,NT$185.82 萬元,NT$92.91 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台塑旭彈性纖維股份有限公司,16446128,1,"43,544.72",石化業,25000,NT$556.34 萬元,NT$185.45 萬元,NT$92.72 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
元晶太陽能科技股份有限公司,28997300,1,"43,389.37",光電業,25000,NT$551.68 萬元,NT$183.89 萬元,NT$91.95 萬元,"NT$826,095.00 萬元","NT$698,671.00 萬元","NT$52,726.00 萬元",0.07%,0.08%,1.05%
日皓造紙工業股份有限公司,24001900,1,"42,095.80",造紙業,25000,NT$512.87 萬元,NT$170.96 萬元,NT$85.48 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
新隆纖維染整股份有限公司,	07472834,1,"42,063.17",紡織業,25000,NT$511.90 萬元,NT$170.63 萬元,NT$85.32 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
采鈺科技股份有限公司,80601119,2,"41,970.21",電子業,50000,免徵,免徵,免徵,"NT$723,693.00 萬元","NT$602,258.00 萬元","NT$35,608.00 萬元",無法計算,無法計算,無法計算
巧新科技工業股份有限公司,84980915,1,"41,908.52",鋁製造業,25000,NT$507.26 萬元,NT$169.09 萬元,NT$84.54 萬元,"NT$777,932.00 萬元","NT$604,490.00 萬元","NT$60,844.00 萬元",0.07%,0.08%,0.83%
餘慶堂興業股份有限公司,28730458,1,"41,399.65",水泥業,25000,NT$491.99 萬元,NT$164.00 萬元,NT$82.00 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
盧森堡商達爾國際股份有限公司,51158518,2,"40,586.04",半導體業,50000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
六和機械股份有限公司,44528635,1,"40,337.86",汽機車業,25000,NT$460.14 萬元,NT$153.38 萬元,NT$76.69 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
矽格股份有限公司,23218022,1,"40,326.73",半導體業,25000,NT$459.80 萬元,NT$153.27 萬元,NT$76.63 萬元,"NT$1,547,950.00 萬元","NT$1,190,074.00 萬元","NT$213,851.00 萬元",0.03%,0.04%,0.22%
名佳利金屬工業股份有限公司,45018531,2,"40,219.90",銅製造業,50000,免徵,免徵,免徵,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
聯合再生能源股份有限公司,27763753,2,"40,135.27",光電業,50000,免徵,免徵,免徵,"NT$1,251,623.00 萬元","NT$1,428,409.00 萬元","-NT$391,496.00 萬元",無法計算,無法計算,淨利為負值
晶碩光學股份有限公司,25021158,1,"39,959.65",眼鏡製造業,25000,NT$448.79 萬元,NT$149.60 萬元,NT$74.80 萬元,"NT$678,986.00 萬元","NT$312,158.00 萬元","NT$167,793.00 萬元",0.07%,0.14%,0.27%
萬洲化學股份有限公司,	03244705,1,"39,754.32",石化業,25000,NT$442.63 萬元,NT$147.54 萬元,NT$73.77 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
南港輪胎股份有限公司,11520909,1,"38,973.45",石化業,25000,NT$419.20 萬元,NT$139.73 萬元,NT$69.87 萬元,"NT$785,197.00 萬元","NT$629,838.00 萬元","NT$13,401.00 萬元",0.05%,0.07%,3.13%
台榮產業股份有限公司,	03543210,1,"38,842.05",碾穀、磨粉及澱粉製品製造業,25000,NT$415.26 萬元,NT$138.42 萬元,NT$69.21 萬元,"NT$329,389.00 萬元","NT$285,580.00 萬元","NT$15,782.00 萬元",0.13%,0.15%,2.63%
國瑞汽車股份有限公司,12488060,1,"38,699.37",汽機車業,25000,NT$410.98 萬元,NT$136.99 萬元,NT$68.50 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台達化學工業股份有限公司,11893409,1,"38,292.50",石化業,25000,NT$398.78 萬元,NT$132.93 萬元,NT$66.46 萬元,"NT$1,520,546.00 萬元","NT$1,476,989.00 萬元","-NT$27,354.00 萬元",0.03%,0.03%,淨利為負值
上銀科技股份有限公司,23503047,1,"37,750.58",金屬加工用機械設備製造業,25000,NT$382.52 萬元,NT$127.51 萬元,NT$63.75 萬元,"NT$2,463,277.00 萬元","NT$1,697,752.00 萬元","NT$183,151.00 萬元",0.02%,0.02%,0.21%
台灣卜蜂企業股份有限公司,36514783,1,"37,423.87",食品業,25000,NT$372.72 萬元,NT$124.24 萬元,NT$62.12 萬元,"NT$2,915,975.00 萬元","NT$2,415,775.00 萬元","NT$225,644.00 萬元",0.01%,0.02%,0.17%
友達晶材股份有限公司,24410807,1,"37,147.04",光電業,25000,NT$364.41 萬元,NT$121.47 萬元,NT$60.74 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
達輝光電股份有限公司,28230046,1,"37,057.70",光電業,25000,NT$361.73 萬元,NT$120.58 萬元,NT$60.29 萬元,"NT$117,426.00 萬元","NT$127,922.00 萬元","-NT$19,840.00 萬元",0.31%,0.28%,淨利為負值
三陽工業股份有限公司,24004006,1,"36,957.84",汽機車業,25000,NT$358.74 萬元,NT$119.58 萬元,NT$59.79 萬元,"NT$6,446,124.00 萬元","NT$5,105,112.00 萬元","NT$666,339.00 萬元",0.01%,0.01%,0.05%
東隆興業股份有限公司,18770509,2,"36,235.44",紡織業,50000,免徵,免徵,免徵,"NT$281,825.00 萬元","NT$264,664.00 萬元","-NT$1,215.00 萬元",無法計算,無法計算,淨利為負值
安瀚視特股份有限公司,70781345,1,"36,225.47",非金屬製品加工業,25000,NT$336.76 萬元,NT$112.25 萬元,NT$56.13 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
三洋窯業股份有限公司,34263157,1,"36,224.62",非金屬製品加工業,25000,NT$336.74 萬元,NT$112.25 萬元,NT$56.12 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
宏全國際股份有限公司,58176511,1,"35,957.71",鋼鐵業,25000,NT$328.73 萬元,NT$109.58 萬元,NT$54.79 萬元,"NT$2,640,921.00 萬元","NT$2,078,910.00 萬元","NT$255,999.00 萬元",0.01%,0.02%,0.13%
台耀化學股份有限公司,96922622,1,"35,349.44",石化業,25000,NT$310.48 萬元,NT$103.49 萬元,NT$51.75 萬元,"NT$436,045.00 萬元","NT$243,712.00 萬元","-NT$5,226.00 萬元",0.07%,0.13%,淨利為負值
鴻揚半導體股份有限公司,90505585,1,"35,031.68",半導體業,25000,NT$300.95 萬元,NT$100.32 萬元,NT$50.16 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
環球水泥股份有限公司,	07568009,1,"34,845.22",水泥業,25000,NT$295.36 萬元,NT$98.45 萬元,NT$49.23 萬元,"NT$780,236.00 萬元","NT$626,022.00 萬元","NT$234,725.00 萬元",0.04%,0.05%,0.13%
台灣國際造船股份有限公司,	04695235,1,"34,260.33",造船業,25000,NT$277.81 萬元,NT$92.60 萬元,NT$46.30 萬元,"NT$2,147,637.00 萬元","NT$2,388,768.00 萬元","-NT$405,092.00 萬元",0.01%,0.01%,淨利為負值
大同染整股份有限公司,	07014916,1,"34,251.79",紡織業,25000,NT$277.55 萬元,NT$92.52 萬元,NT$46.26 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
科德寶遠東股份有限公司,22663158,1,"34,066.55",紡織業,25000,NT$272.00 萬元,NT$90.67 萬元,NT$45.33 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
錦美紙業股份有限公司,34175598,1,"33,756.03",造紙業,25000,NT$262.68 萬元,NT$87.56 萬元,NT$43.78 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
怡華實業股份有限公司,33144175,1,"33,730.26",紡織業,25000,NT$261.91 萬元,NT$87.30 萬元,NT$43.65 萬元,"NT$168,490.00 萬元","NT$112,222.00 萬元",NT$508.00 萬元,0.16%,0.23%,51.56%
遠東氣體工業股份有限公司,22956507,1,"33,414.13",石化業,25000,NT$252.42 萬元,NT$84.14 萬元,NT$42.07 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
紡安股份有限公司,25131486,1,"33,381.23",紡織業,25000,NT$251.44 萬元,NT$83.81 萬元,NT$41.91 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
環泰企業股份有限公司,12529007,1,"32,769.62",食品業,25000,NT$233.09 萬元,NT$77.70 萬元,NT$38.85 萬元,"NT$533,922.00 萬元","NT$459,267.00 萬元","NT$30,470.00 萬元",0.04%,0.05%,0.76%
達邁科技股份有限公司,70776899,1,"32,466.63",電子業,25000,NT$224.00 萬元,NT$74.67 萬元,NT$37.33 萬元,"NT$159,302.00 萬元","NT$135,166.00 萬元","-NT$15,349.00 萬元",0.14%,0.17%,淨利為負值
國聯矽業化學股份有限公司,36550632,1,"32,133.49",石化業,25000,NT$214.00 萬元,NT$71.33 萬元,NT$35.67 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台合科技股份有限公司,12691423,1,"32,000.77",石化業,25000,NT$210.02 萬元,NT$70.01 萬元,NT$35.00 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
台星科股份有限公司,70552666,1,"31,960.87",電子業,25000,NT$208.83 萬元,NT$69.61 萬元,NT$34.80 萬元,"NT$366,782.00 萬元","NT$256,428.00 萬元","NT$83,984.00 萬元",0.06%,0.08%,0.25%
金車股份有限公司,	05007903,1,"31,717.24",食品業,25000,NT$201.52 萬元,NT$67.17 萬元,NT$33.59 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
連大興有限公司,80445899,1,"31,442.73",紡織業,25000,NT$193.28 萬元,NT$64.43 萬元,NT$32.21 萬元,#N/A,#N/A,#N/A,無法計算,無法計算,無法計算
